Date,Open,High,Low,Close,Volume,Currency
2000-10-03,4.955,4.965,4.945,4.962,4781,USD
2000-10-04,4.96,4.965,4.92,4.923,3392,USD
2000-10-05,4.925,4.955,4.92,4.938,6035,USD
2000-10-06,4.94,4.955,4.91,4.928,1709,USD
2000-10-09,4.94,4.945,4.925,4.93,6933,USD
2000-10-10,4.94,4.98,4.93,4.963,13565,USD
2000-10-11,4.97,4.985,4.905,4.915,8923,USD
2000-10-12,4.92,4.97,4.91,4.968,6957,USD
2000-10-13,4.97,4.97,4.915,4.925,5617,USD
2000-10-16,4.925,4.945,4.905,4.923,10617,USD
2000-10-17,4.93,4.93,4.87,4.885,6552,USD
2000-10-18,4.89,4.94,4.88,4.893,4378,USD
2000-10-19,4.89,4.895,4.855,4.865,4765,USD
2000-10-20,4.88,4.89,4.845,4.865,9708,USD
2000-10-23,4.865,4.885,4.815,4.82,5897,USD
2000-10-24,4.82,4.86,4.815,4.833,7071,USD
2000-10-25,4.835,4.84,4.795,4.798,5897,USD
2000-10-26,4.8,4.815,4.76,4.765,6612,USD
2000-10-27,4.765,4.805,4.73,4.78,5340,USD
2000-10-30,4.795,4.81,4.765,4.77,5346,USD
2000-10-31,4.775,4.795,4.755,4.778,9677,USD
2000-11-01,4.78,4.805,4.755,4.798,13408,USD
2000-11-02,4.795,4.84,4.73,4.735,6094,USD
2000-11-03,4.74,4.78,4.74,4.765,3695,USD
2000-11-06,4.77,4.79,4.765,4.785,3765,USD
2000-11-07,4.785,4.795,4.74,4.745,4532,USD
2000-11-08,4.745,4.775,4.745,4.763,7439,USD
2000-11-09,4.77,4.78,4.735,4.765,7969,USD
2000-11-10,4.765,4.77,4.715,4.723,6386,USD
2000-11-13,4.72,4.725,4.68,4.688,6602,USD
2000-11-14,4.69,4.7,4.67,4.695,6220,USD
2000-11-15,4.695,4.705,4.665,4.688,7207,USD
2000-11-16,4.685,4.71,4.67,4.673,7306,USD
2000-11-17,4.675,4.685,4.655,4.658,5186,USD
2000-11-20,4.66,4.68,4.65,4.655,10692,USD
2000-11-21,4.655,4.68,4.625,4.63,0,USD
2000-11-22,4.63,4.645,4.62,4.628,25187,USD
2000-11-27,4.635,4.7,4.62,4.698,15107,USD
2000-11-28,4.695,4.72,4.69,4.698,23582,USD
2000-11-29,4.775,4.785,4.69,4.7,10434,USD
2000-11-30,4.69,4.76,4.69,4.758,4658,USD
2000-12-01,4.76,4.775,4.71,4.723,10788,USD
2000-12-04,4.725,4.825,4.72,4.795,4097,USD
2000-12-05,4.8,4.81,4.765,4.783,8567,USD
2000-12-06,4.78,4.84,4.78,4.833,6358,USD
2000-12-07,4.835,4.84,4.785,4.803,7347,USD
2000-12-08,4.8,4.81,4.71,4.725,4743,USD
2000-12-11,4.735,4.74,4.715,4.733,6094,USD
2000-12-12,4.73,4.78,4.725,4.735,4874,USD
2000-12-13,4.74,4.74,4.69,4.698,6368,USD
2000-12-14,4.7,4.725,4.655,4.673,7147,USD
2000-12-15,4.68,4.68,4.625,4.635,7468,USD
2000-12-18,4.64,4.665,4.63,4.643,4574,USD
2000-12-19,4.65,4.66,4.62,4.653,6550,USD
2000-12-20,4.65,4.71,4.645,4.663,3046,USD
2000-12-21,4.665,4.675,4.635,4.663,2046,USD
2000-12-22,4.655,4.685,4.65,4.675,1701,USD
2000-12-26,4.67,4.705,4.67,4.687,4311,USD
2000-12-27,4.685,4.7,4.63,4.647,2867,USD
2000-12-28,4.645,4.65,4.62,4.637,3620,USD
2000-12-29,4.635,4.65,4.605,4.635,6916,USD
2001-01-02,4.64,4.65,4.59,4.595,8952,USD
2001-01-03,4.595,4.605,4.535,4.54,7272,USD
2001-01-04,4.54,4.585,4.54,4.58,5764,USD
2001-01-05,4.58,4.615,4.56,4.6,3301,USD
2001-01-08,4.6,4.61,4.58,4.59,3480,USD
2001-01-09,4.6,4.6,4.565,4.59,73,USD
2001-01-10,4.595,4.595,4.555,4.575,4336,USD
2001-01-11,4.585,4.605,4.56,4.593,8124,USD
2001-01-12,4.6,4.675,4.59,4.655,12025,USD
2001-01-16,4.645,4.72,4.64,4.71,18012,USD
2001-01-17,4.71,4.8,4.69,4.743,16158,USD
2001-01-18,4.74,4.835,4.72,4.825,13962,USD
2001-01-19,4.83,4.88,4.775,4.78,8572,USD
2001-01-22,4.78,4.835,4.74,4.805,5558,USD
2001-01-23,4.81,4.835,4.79,4.805,4172,USD
2001-01-24,4.805,4.81,4.765,4.793,8487,USD
2001-01-25,4.795,4.86,4.76,4.81,5784,USD
2001-01-26,4.805,4.85,4.78,4.825,3034,USD
2001-01-29,4.82,4.835,4.795,4.823,7385,USD
2001-01-30,4.81,4.865,4.81,4.82,4501,USD
2001-01-31,4.82,4.83,4.795,4.815,6205,USD
2001-02-01,4.82,4.825,4.765,4.81,4244,USD
2001-02-02,4.8,4.81,4.77,4.788,11964,USD
2001-02-05,4.77,4.775,4.695,4.698,7409,USD
2001-02-06,4.7,4.7,4.65,4.67,11702,USD
2001-02-07,4.665,4.685,4.615,4.625,16749,USD
2001-02-08,4.625,4.64,4.565,4.57,18244,USD
2001-02-09,4.57,4.585,4.53,4.563,0,USD
2001-02-12,4.56,4.59,4.535,4.56,0,USD
2001-02-13,4.56,4.58,4.545,4.55,8225,USD
2001-02-14,4.555,4.565,4.505,4.515,7848,USD
2001-02-15,4.52,4.54,4.49,4.518,8542,USD
2001-02-16,4.525,4.53,4.48,4.49,10306,USD
2001-02-20,4.49,4.505,4.41,4.42,8908,USD
2001-02-21,4.41,4.44,4.395,4.408,6890,USD
2001-02-22,4.41,4.44,4.405,4.415,19598,USD
2001-02-23,4.415,4.455,4.37,4.433,10782,USD
2001-02-26,4.435,4.46,4.42,4.445,11413,USD
2001-02-27,4.5,4.52,4.46,4.463,14252,USD
2001-02-28,4.465,4.58,4.445,4.515,11667,USD
2001-03-01,4.52,4.555,4.425,4.435,6523,USD
2001-03-02,4.43,4.485,4.43,4.458,3151,USD
2001-03-05,4.43,4.48,4.425,4.455,4338,USD
2001-03-06,4.45,4.47,4.415,4.445,4554,USD
2001-03-07,4.455,4.49,4.425,4.465,10074,USD
2001-03-08,4.465,4.535,4.45,4.51,5536,USD
2001-03-09,4.52,4.55,4.495,4.522,7890,USD
2001-03-12,4.54,4.55,4.42,4.44,7092,USD
2001-03-13,4.445,4.46,4.4,4.45,4852,USD
2001-03-14,4.45,4.47,4.415,4.458,9409,USD
2001-03-15,4.47,4.47,4.34,4.353,8647,USD
2001-03-16,4.36,4.37,4.29,4.315,0,USD
2001-03-19,4.305,4.345,4.305,4.32,3648,USD
2001-03-20,4.335,4.365,4.32,4.353,4541,USD
2001-03-21,4.35,4.37,4.33,4.348,6107,USD
2001-03-22,4.35,4.36,4.305,4.355,3878,USD
2001-03-23,4.35,4.385,4.335,4.363,1800,USD
2001-03-26,4.37,4.385,4.35,4.38,11644,USD
2001-03-27,4.38,4.46,4.345,4.435,5050,USD
2001-03-28,4.45,4.45,4.37,4.375,5276,USD
2001-03-29,4.38,4.39,4.32,4.335,6099,USD
2001-03-30,4.34,4.34,4.29,4.295,4967,USD
2001-04-02,4.3,4.32,4.27,4.315,5331,USD
2001-04-03,4.32,4.365,4.295,4.313,5810,USD
2001-04-04,4.32,4.37,4.295,4.34,4395,USD
2001-04-05,4.34,4.36,4.33,4.353,6130,USD
2001-04-06,4.36,4.37,4.32,4.335,3127,USD
2001-04-09,4.34,4.355,4.305,4.315,3760,USD
2001-04-10,4.32,4.34,4.3,4.325,8517,USD
2001-04-11,4.315,4.39,4.305,4.363,4314,USD
2001-04-12,4.37,4.385,4.35,4.368,9933,USD
2001-04-16,4.375,4.46,4.365,4.44,7185,USD
2001-04-17,4.44,4.44,4.36,4.368,10080,USD
2001-04-18,4.37,4.385,4.32,4.365,0,USD
2001-04-19,4.37,4.445,4.355,4.427,10671,USD
2001-04-20,4.435,4.475,4.405,4.44,8372,USD
2001-04-23,4.44,4.45,4.395,4.44,9747,USD
2001-04-24,4.44,4.485,4.43,4.453,19335,USD
2001-04-25,4.45,4.465,4.35,4.365,10480,USD
2001-04-26,4.37,4.42,4.365,4.377,11195,USD
2001-04-27,4.415,4.44,4.395,4.4,7065,USD
2001-04-30,4.4,4.41,4.35,4.358,5412,USD
2001-05-01,4.365,4.395,4.35,4.385,3894,USD
2001-05-02,4.39,4.425,4.37,4.395,4784,USD
2001-05-03,4.395,4.415,4.36,4.365,7467,USD
2001-05-04,4.37,4.38,4.325,4.36,3953,USD
2001-05-07,4.355,4.36,4.325,4.327,3439,USD
2001-05-08,4.33,4.345,4.32,4.335,8969,USD
2001-05-09,4.34,4.425,4.33,4.415,9200,USD
2001-05-10,4.395,4.42,4.325,4.35,3012,USD
2001-05-11,4.35,4.365,4.335,4.337,3450,USD
2001-05-14,4.335,4.37,4.33,4.357,5545,USD
2001-05-15,4.355,4.36,4.315,4.32,16711,USD
2001-05-16,4.33,4.475,4.33,4.463,14580,USD
2001-05-17,4.46,4.51,4.4,4.495,20286,USD
2001-05-18,4.49,4.625,4.45,4.577,13880,USD
2001-05-21,4.585,4.655,4.525,4.55,7415,USD
2001-05-22,4.55,4.58,4.525,4.568,8529,USD
2001-05-23,4.575,4.605,4.515,4.58,15263,USD
2001-05-24,4.58,4.69,4.555,4.62,5394,USD
2001-05-25,4.61,4.62,4.555,4.583,5372,USD
2001-05-29,4.575,4.575,4.52,4.54,11706,USD
2001-05-30,4.55,4.55,4.43,4.445,8170,USD
2001-05-31,4.455,4.475,4.4,4.41,6531,USD
2001-06-01,4.41,4.45,4.385,4.423,14455,USD
2001-06-04,4.42,4.445,4.325,4.335,7506,USD
2001-06-05,4.335,4.375,4.33,4.343,6685,USD
2001-06-06,4.35,4.375,4.33,4.34,6194,USD
2001-06-07,4.35,4.35,4.325,4.335,9599,USD
2001-06-08,4.34,4.385,4.31,4.37,5403,USD
2001-06-11,4.37,4.38,4.32,4.338,7758,USD
2001-06-12,4.335,4.38,4.33,4.375,8262,USD
2001-06-13,4.375,4.425,4.36,4.415,13539,USD
2001-06-14,4.42,4.495,4.395,4.47,9159,USD
2001-06-15,4.465,4.47,4.385,4.4,5037,USD
2001-06-18,4.395,4.44,4.37,4.422,3507,USD
2001-06-19,4.42,4.435,4.395,4.4,13459,USD
2001-06-20,4.405,4.41,4.33,4.345,0,USD
2001-06-21,4.345,4.36,4.28,4.323,4321,USD
2001-06-22,4.32,4.345,4.3,4.303,9701,USD
2001-06-25,4.32,4.325,4.29,4.298,19425,USD
2001-06-26,4.295,4.355,4.29,4.348,12381,USD
2001-06-27,4.35,4.35,4.295,4.305,10850,USD
2001-06-28,4.35,4.36,4.315,4.332,5141,USD
2001-06-29,4.325,4.36,4.32,4.327,6731,USD
2001-07-02,4.33,4.34,4.28,4.31,5756,USD
2001-07-03,4.31,4.32,4.265,4.278,5652,USD
2001-07-05,4.28,4.28,4.23,4.238,5652,USD
2001-07-06,4.23,4.27,4.2,4.265,4674,USD
2001-07-09,4.265,4.285,4.23,4.243,3269,USD
2001-07-10,4.24,4.28,4.235,4.263,6159,USD
2001-07-11,4.265,4.285,4.24,4.26,3220,USD
2001-07-12,4.27,4.28,4.24,4.268,7022,USD
2001-07-13,4.27,4.315,4.25,4.308,8644,USD
2001-07-16,4.3,4.315,4.2,4.21,3081,USD
2001-07-17,4.21,4.25,4.205,4.248,8097,USD
2001-07-18,4.245,4.31,4.19,4.288,5578,USD
2001-07-19,4.285,4.29,4.205,4.24,3174,USD
2001-07-20,4.245,4.25,4.21,4.24,3934,USD
2001-07-23,4.25,4.29,4.225,4.26,1835,USD
2001-07-24,4.25,4.27,4.235,4.26,1703,USD
2001-07-25,4.255,4.26,4.225,4.232,3720,USD
2001-07-26,4.235,4.275,4.225,4.24,2562,USD
2001-07-27,4.235,4.245,4.215,4.218,2870,USD
2001-07-30,4.215,4.24,4.2,4.208,3371,USD
2001-07-31,4.205,4.235,4.2,4.228,2749,USD
2001-08-01,4.23,4.245,4.225,4.233,3626,USD
2001-08-02,4.24,4.255,4.23,4.235,2821,USD
2001-08-03,4.24,4.24,4.21,4.228,3316,USD
2001-08-06,4.23,4.23,4.19,4.192,7300,USD
2001-08-07,4.195,4.2,4.115,4.172,4042,USD
2001-08-08,4.18,4.18,4.125,4.152,8511,USD
2001-08-09,4.145,4.24,4.14,4.217,10159,USD
2001-08-10,4.215,4.24,4.11,4.145,4808,USD
2001-08-13,4.15,4.18,4.125,4.147,7714,USD
2001-08-14,4.145,4.23,4.135,4.202,9040,USD
2001-08-15,4.2,4.245,4.125,4.155,6095,USD
2001-08-16,4.16,4.23,4.155,4.198,12343,USD
2001-08-17,4.195,4.295,4.195,4.265,9025,USD
2001-08-20,4.26,4.265,4.15,4.153,9683,USD
2001-08-21,4.15,4.235,4.145,4.193,4786,USD
2001-08-22,4.21,4.23,4.19,4.208,6743,USD
2001-08-23,4.2,4.235,4.195,4.22,9918,USD
2001-08-24,4.215,4.22,4.17,4.185,8596,USD
2001-08-27,4.18,4.205,4.16,4.197,14798,USD
2001-08-28,4.19,4.205,4.18,4.183,10190,USD
2001-08-29,4.18,4.2,4.18,4.185,11191,USD
2001-08-30,4.225,4.235,4.19,4.203,4350,USD
2001-08-31,4.2,4.225,4.19,4.21,3140,USD
2001-09-04,4.2,4.21,4.18,4.187,1624,USD
2001-09-05,4.19,4.205,4.185,4.193,1275,USD
2001-09-06,4.2,4.21,4.18,4.188,3021,USD
2001-09-07,4.19,4.21,4.18,4.183,2100,USD
2001-09-10,4.18,4.2,4.175,4.193,0,USD
2001-09-11,4.195,4.23,4.18,4.225,2029,USD
2001-09-14,4.3,4.345,4.27,4.33,15974,USD
2001-09-17,4.34,4.425,4.29,4.413,13696,USD
2001-09-18,4.4,4.48,4.365,4.473,29575,USD
2001-09-19,4.47,4.76,4.45,4.745,19546,USD
2001-09-20,4.71,4.71,4.465,4.535,14400,USD
2001-09-21,4.54,4.65,4.54,4.617,8036,USD
2001-09-24,4.625,4.63,4.505,4.595,5487,USD
2001-09-25,4.59,4.615,4.515,4.547,6904,USD
2001-09-26,4.535,4.63,4.53,4.615,10697,USD
2001-09-27,4.615,4.65,4.56,4.608,8538,USD
2001-09-28,4.6,4.68,4.585,4.675,8019,USD
2001-10-01,4.665,4.69,4.615,4.667,6606,USD
2001-10-02,4.675,4.675,4.615,4.65,9721,USD
2001-10-03,4.65,4.69,4.615,4.635,12317,USD
2001-10-04,4.63,4.73,4.615,4.655,3745,USD
2001-10-05,4.65,4.69,4.645,4.685,4913,USD
2001-10-08,4.7,4.725,4.65,4.67,11363,USD
2001-10-09,4.67,4.675,4.535,4.55,13041,USD
2001-10-10,4.525,4.565,4.425,4.44,9736,USD
2001-10-11,4.44,4.45,4.395,4.425,7212,USD
2001-10-12,4.43,4.49,4.41,4.47,8053,USD
2001-10-15,4.435,4.455,4.37,4.393,6943,USD
2001-10-16,4.39,4.405,4.33,4.345,6382,USD
2001-10-17,4.35,4.4,4.34,4.37,19246,USD
2001-10-18,4.37,4.385,4.24,4.263,7577,USD
2001-10-19,4.265,4.305,4.245,4.273,8078,USD
2001-10-22,4.28,4.29,4.205,4.235,4721,USD
2001-10-23,4.235,4.265,4.225,4.243,4731,USD
2001-10-24,4.24,4.26,4.21,4.215,7768,USD
2001-10-25,4.215,4.24,4.185,4.22,5699,USD
2001-10-26,4.225,4.24,4.21,4.215,3506,USD
2001-10-29,4.23,4.26,4.225,4.243,5031,USD
2001-10-30,4.255,4.285,4.25,4.263,8360,USD
2001-10-31,4.26,4.275,4.19,4.225,4390,USD
2001-11-01,4.22,4.24,4.205,4.207,18143,USD
2001-11-02,4.22,4.23,4.105,4.11,7021,USD
2001-11-05,4.12,4.125,4.08,4.098,7017,USD
2001-11-06,4.09,4.14,4.08,4.118,6591,USD
2001-11-07,4.12,4.145,4.105,4.128,6444,USD
2001-11-08,4.135,4.14,4.07,4.078,6187,USD
2001-11-09,4.08,4.1,4.055,4.08,7869,USD
2001-11-12,4.08,4.21,4.08,4.118,7833,USD
2001-11-13,4.115,4.155,4.065,4.14,4978,USD
2001-11-14,4.155,4.175,4.13,4.143,4283,USD
2001-11-15,4.145,4.15,4.08,4.108,3811,USD
2001-11-16,4.115,4.12,4.085,4.095,5854,USD
2001-11-19,4.1,4.11,4.045,4.058,5581,USD
2001-11-20,4.05,4.075,4.04,4.05,6731,USD
2001-11-21,4.058,4.065,4.015,4.035,12445,USD
2001-11-26,4.04,4.06,4.02,4.028,16630,USD
2001-11-27,4.02,4.05,4.02,4.04,16317,USD
2001-11-28,4.04,4.14,4.04,4.115,8751,USD
2001-11-29,4.14,4.19,4.09,4.097,9311,USD
2001-11-30,4.11,4.195,4.1,4.157,11452,USD
2001-12-03,4.16,4.25,4.145,4.227,7493,USD
2001-12-04,4.24,4.24,4.145,4.153,8518,USD
2001-12-05,4.153,4.21,4.125,4.2,9212,USD
